Fireplaces,SalePrice,LotArea,BsmtFinSF1
0,208500,8450,706
1,181500,9600,978
1,223500,11250,486
1,140000,9550,216
1,250000,14260,655
0,143000,14115,732
1,307000,10084,1369
2,200000,10382,859
2,129900,6120,0
2,118000,7420,851
0,129500,11200,906
2,345000,11924,998
0,144000,12968,737
1,279500,10652,0
1,157000,10920,733
0,132000,6120,0
1,149000,11241,578
0,90000,10791,0
0,159000,13695,646
0,139000,7560,504
1,325300,14215,0
1,139400,7449,0
1,230000,9742,0
1,129900,4224,840
1,154000,8246,188
1,256300,14230,0
0,134800,7200,234
1,306000,11478,1218
2,207500,16321,1277
0,68500,6324,0
0,40000,8500,0
0,149350,8544,0
0,179900,11049,0
1,165500,10552,1018
1,277500,7313,1153
1,309000,13418,0
0,145000,10859,0
1,153000,8532,1213
0,109000,7922,731
0,82000,6040,0
1,160000,8658,643
2,170000,16905,967
0,144000,9180,747
0,130250,9200,280
0,141000,7945,179
1,319900,7658,456
1,239686,12822,1351
0,249700,11096,24
0,113000,4456,0
0,127000,7742,763
0,177000,13869,182
1,114500,6240,0
0,110000,8472,104
1,385000,50271,1810
1,130000,7134,384
1,180500,10175,490
0,172500,2645,649
0,196500,11645,0
1,438780,13682,0
0,124900,7200,632
0,158000,13072,941
0,101000,7200,0
1,202500,6442,24
0,140000,10300,0
0,219500,9375,739
1,317000,9591,0
1,180000,19900,912
0,226000,10665,1013
0,80000,4608,0
1,225000,15593,603
2,244000,13651,1880
0,129500,7599,565
1,185000,10141,0
0,144900,10200,320
0,107400,5790,0
0,91000,1596,462
0,135750,8475,228
0,127000,8635,336
0,136500,10778,0
0,110000,10440,0
1,193500,13000,448
0,153500,4500,1201
1,245000,10206,33
0,126500,8892,0
1,168500,8530,0
1,260000,16059,0
1,174000,11911,0
0,164500,3951,0
0,85000,8470,0
0,123600,8070,588
0,109900,7200,0
0,98600,8500,600
0,163500,13360,713
1,133900,7200,1046
0,204750,9337,648
1,185000,9765,310
0,214000,10264,1162
0,94750,10921,520
0,83000,10625,108
0,128950,9320,569
2,205000,10603,1200
1,178000,9206,0
0,118964,7018,0
0,198900,10402,0
2,169500,7758,224
1,250000,9375,0
0,100000,10800,0
0,115000,6000,104
0,115000,8500,0
1,190000,11751,705
0,136900,9525,444
1,180000,7750,250
1,383970,9965,984
2,217000,21000,35
1,259500,7259,774
1,176000,3230,419
1,139000,11616,170
0,155000,8536,0
2,320000,12376,1470
1,163990,8461,0
2,180000,21453,938
0,100000,6060,0
0,136000,9464,570
0,153900,7892,300
1,181000,17043,0
0,84500,6780,490
1,128000,4928,120
1,87000,4388,116
1,155000,7590,512
0,150000,8973,567
2,226000,14200,445
1,244000,12224,695
0,150750,7388,405
0,220000,6853,1005
1,180000,10335,570
1,174000,10400,0
1,143000,10355,695
0,171000,11070,0
2,230000,9066,668
0,231500,15426,821
1,115000,10500,432
0,260000,11645,1300
0,166000,8520,507
0,204000,10335,679
0,125000,9100,1332
0,130000,2522,0
0,105000,6120,209
1,222500,9505,0
0,141000,7500,680
0,115000,6240,0
0,122000,10356,716
1,372402,13891,1400
1,190000,14803,416
1,235000,13500,429
0,125000,11340,0
0,79000,9600,0
0,109500,7200,0
1,269500,12003,0
1,254900,12552,222
1,320000,19378,57
0,162500,11120,660
2,412500,13688,1016
1,220000,12182,1201
0,103200,5500,0
0,152000,5400,370
0,127500,10106,351
3,190000,10708,379
1,325624,10562,1288
1,183500,8244,0
1,228000,16669,0
0,128500,12358,360
2,215000,31770,639
1,239000,5306,495
1,163000,10197,288
1,184000,12416,1398
1,243000,12615,477
1,211000,10029,831
1,172500,13650,57
1,501837,17423,1904
0,100000,8520,0
1,177000,2117,436
1,200100,7588,352
1,120000,9060,0
0,200000,11426,0
0,127000,7438,0
2,475000,22950,0
0,173000,9947,611
0,135000,10410,0
2,153337,7018,1086
1,286000,4923,1153
2,315000,10570,297
0,184000,7472,626
0,192000,9017,560
0,130000,2522,0
0,127000,7180,390
1,148500,2280,566
1,311872,9416,1126
1,235000,25419,1036
0,104000,5520,0
1,274900,9591,1088
0,140000,8546,0
2,171500,10125,641
0,112000,7000,617
1,149000,4438,662
0,110000,3500,312
0,180500,11851,0
1,143900,13673,0
1,141000,12493,419
1,277000,14364,1065
0,145000,8250,787
0,98000,5604,468
0,186000,10420,36
1,252678,8640,822
0,156000,13568,716
0,161750,10900,378
1,134450,10011,360
0,210000,8450,946
0,107000,9906,0
2,311500,15660,341
0,167240,3010,16
0,204900,8990,0
1,200000,8068,0
1,179900,11475,550
0,97000,10500,524
1,386250,13472,56
0,112000,1680,0
1,290000,9950,565
0,106000,1869,321
1,125000,8521,842
1,192500,3182,16
0,148000,8760,0
1,403000,15138,689
1,94500,1680,0
0,128200,10650,182
2,216500,7851,625
0,89500,1680,358
0,185500,8773,24
0,194500,9453,402
0,318000,12030,0
1,113000,8741,94
0,262500,9000,1078
0,110500,3880,329
0,79000,5000,0
1,120000,10762,0
2,205000,8880,695
1,241500,10400,929
0,137000,9142,0
1,140000,11310,0
0,180000,11317,0
2,277000,159000,697
0,76500,5350,0
1,235000,4750,1573
0,173000,8366,0
0,158000,9350,270
0,145000,8400,922
1,230000,8738,0
0,207500,8791,503
1,220000,8814,1334
1,231500,12435,361
0,97000,12702,0
1,176000,19296,672
1,276000,9588,0
1,151000,8471,506
0,130000,5500,234
0,73000,5232,0
1,175500,12090,588
1,185000,11207,714
1,179500,8400,378
1,120500,6900,403
1,148000,7917,751
1,266000,10728,0
2,241500,39104,226
1,290000,11764,524
1,139000,9600,620
0,124500,8314,546
0,205000,7264,0
0,201000,9196,0
0,141000,19138,120
1,415298,14450,0
1,192000,10005,392
1,228500,11287,421
0,185000,7200,905
1,207500,5063,904
1,244600,9612,0
0,179200,8012,430
0,164700,4251,0
1,159000,9786,600
0,88000,8125,614
0,122000,9819,450
0,153575,8730,0
1,233230,15611,0
0,135900,5687,210
1,131000,11409,292
1,235000,16659,795
2,167000,9600,1285
0,142500,7937,819
0,152000,13710,420
1,239000,7399,649
1,175000,11700,384
1,158500,14000,0
2,157000,15750,841
1,267000,16226,281
1,205000,13704,0
0,149900,9800,894
1,295000,18386,0
0,305900,10386,1464
1,225000,13474,700
0,89500,7920,0
0,82500,12342,262
3,360000,12378,1274
1,165600,7685,518
1,132000,8000,680
1,119900,7800,507
2,375000,215245,1236
1,178000,9600,16
1,188500,7795,425
1,260000,13005,692
1,270000,9000,0
1,260000,9900,987
2,187500,14115,1036
0,342643,16259,0
1,354000,12099,970
1,301000,10380,28
0,126175,5820,256
1,242000,11275,0
0,87000,5000,116
2,324000,10846,1619
0,145250,11600,565
0,214500,11888,0
0,78000,6402,0
0,119000,10624,40
0,139000,8176,846
1,284000,10655,1124
1,207000,8198,720
2,192000,9042,828
2,228950,164660,1249
1,377426,14157,1249
0,214000,9135,810
